X GeneID	geneSymbol	chr	strand	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference	AS_type	comp	transcript_type	gene_type	Note	Name	Ontology_term	gene_name
gene:Solyc09g098100.4_68339752_68340124_68339752_68339996_68340091_68340124	gene:Solyc09g098100.4	NA	chr9	-	109,75	127,88	78,111	169,226	148	74	0.00050432708681	0.00796866816629253	0.3,0.299	0.188,0.197	0.107	RI	HS1.vs.HS0	protein_coding	protein_coding	NB-LRR tospovirus immune receptor (AHRD V3.3 *** A0A221IWV2_SOLPN)	Solyc09g098100.4.1	NA	NA
gene:Solyc09g091160.1_66900324_66901820_66900324_66900547_66900650_66901820	gene:Solyc09g091160.1	NA	chr9	+	58,43	93,77	16,11	84,48	148	74	1.7540970853e-05	0.000523174237407736	0.238,0.218	0.087,0.103	0.133	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc09g083060.4_65155747_65158126_65155747_65156987_65157812_65158126	gene:Solyc09g083060.4	NA	chr9	-	93,73	18,22	32,21	1,1	148	74	0.000105329935045	0.00223321335924083	0.721,0.624	0.941,0.913	-0.255	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc09g082470.4_64594285_64595028_64594285_64594553_64594832_64595028	gene:Solyc09g082470.4	NA	chr9	-	433,395	203,126	300,250	54,57	148	74	0.000160038765678	0.00311682247609869	0.516,0.611	0.735,0.687	-0.148	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc09g082160.4_64388339_64389337_64388339_64388852_64389096_64389337	gene:Solyc09g082160.4	NA	chr9	-	20,16	43,53	4,10	120,106	148	74	4.51888603203e-08	3.33205082556212e-06	0.189,0.131	0.016,0.045	0.13	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc09g074510.3_62682182_62683210_62682182_62682567_62682690_62683210	gene:Solyc09g074510.3	NA	chr9	+	156,153	60,61	135,134	19,11	148	74	5.1698955339e-08	3.74958680184086e-06	0.565,0.556	0.78,0.859	-0.259	RI	HS1.vs.HS0	protein_coding	protein_coding	Tubby-like F-box protein (AHRD V3.3 *** A0A200QX79_9MAGN)	Solyc09g074510.3.1	NA	NA
gene:Solyc09g065660.4_60224991_60225982_60224991_60225737_60225917_60225982	gene:Solyc09g065660.4	NA	chr9	+	700,451	404,246	3,1	12,10	148	74	5.26842114379e-08	3.78997938379148e-06	0.464,0.478	0.111,0.048	0.391	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc09g059670.4_51387014_51387567_51387014_51387092_51387166_51387567	gene:Solyc09g059670.4	NA	chr9	-	7,4	1,0	0,0	1,1	148	74	7.75385422536e-10	9.94328794261745e-08	0.778,1.0	0.0,0.0	0.889	RI	HS1.vs.HS0	protein_coding	protein_coding	Alpha/beta hydrolase family protein (AHRD V3.3 *** Q8RX69_ARATH)	Solyc09g059670.4.1	NA	NA
gene:Solyc09g059510.3_50921034_50921323_50921034_50921156_50921308_50921323	gene:Solyc09g059510.3	NA	chr9	-	59,48	8,5	273,265	5,3	148	74	1.4326830774e-05	0.000447418497524506	0.787,0.828	0.965,0.978	-0.164	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
gene:Solyc09g056270.3_44870706_44871576_44870706_44870940_44871495_44871576	gene:Solyc09g056270.3	NA	chr9	+	12,11	0,0	25,19	8,5	148	74	4.10202867573e-06	0.000158498327798039	1.0,1.0	0.61,0.655	0.367	RI	HS1.vs.HS0	protein_coding	protein_coding	NA	NA	NA	NA
